id,config|n_train,config|dataset_name,config|labels,config|r_max,config|num_layers,config|num_features,config|l_max,config|seed,config|beta,config|ema_decay,config|batch_size,result|num_params,result|best_epoch,result|num_epochs,result|train|cell_energy_rmse,result|train|scaled_energy_rmse,result|train|per_atom_energy_rmse,result|train|force_rmse,result|val|cell_energy_rmse,result|val|scaled_energy_rmse,result|val|per_atom_energy_rmse,result|val|force_rmse,result|test|cell_energy_rmse,result|test|scaled_energy_rmse,result|test|per_atom_energy_rmse,result|test|force_rmse,metadata|timing_marks,metadata|timing|training|start,metadata|timing|training|end,metadata|timing|training|duration,metadata|timing|evaluation|start,metadata|timing|evaluation|end,metadata|timing|evaluation|duration
23.06.08-15.04.14-815190,25,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,73784,106,136,9.66654366854462,0.9494138425880072,0.1288457687290907,1.0195539996936631,14.014842647545848,1.488367643712365,0.2076808302927678,1.3700350609307952,12.61480692797042,1.4487497378647958,0.2177229782451966,1.3298216541960324,"[('start', 1686233054.815314), ('end', 1686233229.116411)]",1686233054.817992,1686233145.954909,91.1369171142578,1686233145.954934,1686233229.116367,83.16143321990967
23.06.08-15.07.09-123270,50,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,73784,110,140,8.199007953609518,0.7909779620626278,0.1119064870552565,0.8981790736554945,12.12844992254482,1.2703513435936449,0.1666545252544105,1.2283965282685356,10.891182581181654,1.230130048785025,0.1780877709813823,1.1827481473846235,"[('start', 1686233229.123372), ('end', 1686233425.861324)]",1686233229.126027,1686233339.457793,110.33176589012146,1686233339.457822,1686233425.861277,86.40345501899719
23.06.08-15.10.25-868010,100,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,73784,80,117,6.539125582735559,0.7213982854251069,0.0996546492422138,0.8887377277186205,9.133605288047594,0.9494071501687132,0.1182759995764669,1.09544325320923,8.29123089170295,0.9286712293886178,0.1341803766023457,1.0741875888114305,"[('start', 1686233425.868109), ('end', 1686233663.005073)]",1686233425.870742,1686233569.690254,143.81951189041138,1686233569.690281,1686233663.005001,93.3147201538086
23.06.08-15.14.23-012645,200,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,73784,73,110,6.043525793008412,0.6642881099579689,0.090329393505003,0.828080761309407,6.898940365711047,0.718477987135023,0.0878542479918597,0.9867387124268464,6.255782228187968,0.6968033675106114,0.0997251536867727,0.9713232641617692,"[('start', 1686233663.012744), ('end', 1686234071.190016)]",1686233663.01548,1686233908.633552,245.61807203292847,1686233908.633572,1686234071.18995,162.55637788772583
23.06.08-15.21.11-197544,400,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,73784,82,98,5.137125450305103,0.5542238227946761,0.0756003226375385,0.7405384533770141,5.864711727845233,0.619951566802849,0.0773198693439927,0.923917838650514,5.337273642364306,0.5967883769536034,0.0848551955239998,0.9074411694180156,"[('start', 1686234071.197658), ('end', 1686234798.475221)]",1686234071.200325,1686234665.660454,594.4601290225983,1686234665.660476,1686234798.475165,132.81468892097473
23.06.08-16.31.30-773201,800,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,73784,96,111,4.350302557524765,0.490052549519626,0.0660385438171326,0.6979167785193848,4.995748978041545,0.5287862193827664,0.0627437335820489,0.8612335516929722,4.458811873731497,0.5029565087028047,0.0682224542507666,0.8364618095717671,"[('start', 1686238290.773322), ('end', 1686239365.873258)]",1686238290.776142,1686239180.836359,890.0602171421051,1686239180.836387,1686239365.873212,185.0368251800537
23.06.08-16.49.25-881038,1600,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,73784,119,129,3.683564123082487,0.4199423371983864,0.0542208062405933,0.6569231349588315,4.427516833216202,0.4705105794019532,0.054566738880129,0.786198644729945,4.024720922180583,0.4503681066320326,0.0576244593935374,0.7705460901083208,"[('start', 1686239365.881144), ('end', 1686241876.644963)]",1686239365.883705,1686241585.792219,2219.908514022827,1686241585.792249,1686241876.644922,290.85267305374146
23.06.08-17.31.16-652486,3200,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,73784,201,205,3.316812155578834,0.3697371636810154,0.0458129951425317,0.6265557165680166,3.848548945492308,0.4071148874743984,0.0470256322512845,0.7227913551997545,3.443272975831707,0.3845424948695822,0.0477106369575461,0.7077198272206292,"[('start', 1686241876.652592), ('end', 1686252011.154001)]",1686241876.655142,1686251382.076334,9505.42119193077,1686251382.076366,1686252011.153952,629.0775859355927
23.06.08-20.33.15-394025,10000,C-SYNTH-23M:reasonable,ace,4.0,4,32,1,42,4,0.99,10,73784,135,139,2.449670076644101,0.1732178322864813,0.0122483503832205,0.2854774852285044,2.5243460758613723,0.1784982228303227,0.0126217303793068,0.296240911956777,2.403147547519611,0.1699281927042938,0.012015737737598,0.2851872810860968,"[('start', 1686252795.394162), ('end', 1686289095.921803)]",1686252795.397035,1686286894.937635,34099.54060006142,1686286894.937659,1686289095.921753,2200.9840939044952
23.06.09-08.13.03-677890,10000,C-SYNTH-23M:reasonable,gap20,4.0,4,32,1,42,4,0.99,10,73784,157,165,2.2813198136390267,0.1613136710279386,0.0114065990681951,0.3286569634311554,2.3720224338418125,0.1677273148096164,0.011860112169209,0.3396469613126306,2.21610194304382,0.1567020711726969,0.0110805097152191,0.3287642559564367,"[('start', 1686294783.677996), ('end', 1686336831.37261)]",1686294977.875678,1686334632.63902,39654.76334190369,1686334632.639065,1686336831.372501,2198.733435869217
23.06.09-22.16.54-046769,10000,C-SYNTH-23M:reasonable,edip,4.0,4,32,1,42,4,0.99,10,73784,406,446,1.3445014970259976,0.0950706125862547,0.0067225074851299,0.4116717360676658,1.8114950412028208,0.1280920427720319,0.0090574752060141,0.4274570824151641,1.2685905764903629,0.0897028999185687,0.0063429528824518,0.4208242233358879,"[('start', 1686345414.046873), ('end', 1686451676.220242)]",1686345595.677384,1686449457.307016,103861.62963199615,1686449457.307052,1686451676.220117,2218.913065195084
23.06.12-11.16.02-192600,330,C-SYNTH-23M:reasonable,ace,4.0,4,32,1,42,4,0.99,10,73784,122,162,6.180020623653784,0.4369934490858307,0.0309001031182689,0.4197891472194021,6.425408282806888,0.4543449768664959,0.0321270414140344,0.4504331418263514,6.376557047460444,0.4508906728882149,0.0318827852373022,0.4400267270725641,"[('start', 1686564962.192728), ('end', 1686567498.407962)]",1686564962.195322,1686567201.043241,2238.847918987274,1686567201.043271,1686567498.407912,297.3646409511566
23.06.12-13.52.32-902820,25,C-GAP-17,ace,4.0,4,32,1,42,4,0.99,10,73784,142,160,9.271669031281666,0.841785817632242,0.1032351237545657,0.7830978942740806,11.595896080940612,1.2284569830273009,0.1771415326423081,1.2127920477855416,10.812648045930626,1.2484046222237726,0.1933059326800336,1.1859324017135686,"[('start', 1686574352.902936), ('end', 1686574714.795017)]",1686574356.253965,1686574629.176353,272.9223880767822,1686574629.176375,1686574714.794943,85.61856818199158
23.06.12-14.03.34-109329,50,C-GAP-17,ace,4.0,4,32,1,42,4,0.99,10,73784,151,179,6.833537191708539,0.6111843981665341,0.0801667094086342,0.6697215399589191,8.933055616225708,0.9295922470529462,0.1225325884859099,1.069810203084228,8.2625319294398,0.9344342066659098,0.1396167330887762,1.0214078595210827,"[('start', 1686575014.109437), ('end', 1686575434.226707)]",1686575014.112122,1686575324.393314,310.2811918258667,1686575324.393338,1686575434.226636,109.83329796791077
23.06.12-12.18.55-375510,1000,C-SYNTH-23M:reasonable,ace,4.0,4,32,1,42,4,0.99,10,73784,166,200,3.7335786359918752,0.2640038771603075,0.0186678931799593,0.3307243816624201,3.780668148525206,0.2673336085238162,0.018903340742626,0.3612306526898341,3.8329008401094913,0.2710270175657036,0.0191645042005474,0.3478454428324995,"[('start', 1686568735.375618), ('end', 1686575951.630332)]",1686568735.378485,1686575371.733634,6636.355149030685,1686575371.733673,1686575951.630279,579.8966059684753
23.06.12-14.17.37-603035,100,C-GAP-17,ace,4.0,4,32,1,42,4,0.99,10,73784,108,148,5.183888808002748,0.5107791464361325,0.0676017765847718,0.6483342667271643,6.652724942917853,0.6715290615761671,0.0811835300343189,0.9275117107815888,5.899733371259539,0.64833463302836,0.0993205656380781,0.8955284237563023,"[('start', 1686575857.60319), ('end', 1686576292.044599)]",1686575857.608899,1686576148.474257,290.865357875824,1686576148.474287,1686576292.044523,143.5702359676361
23.06.12-14.32.07-399337,200,C-GAP-17,ace,4.0,4,32,1,42,4,0.99,10,73784,94,130,4.558981388850878,0.473414628593551,0.0657004367816027,0.6165675982604889,4.914675795841172,0.5017298976256943,0.0623495281507131,0.8381818827557196,4.565798112989628,0.500283289094339,0.0761700640443411,0.8175963403960531,"[('start', 1686576727.399469), ('end', 1686577393.953776)]",1686576727.402247,1686577228.234815,500.8325679302216,1686577228.234844,1686577393.953704,165.71886014938354
23.06.12-14.53.51-589921,400,C-GAP-17,ace,4.0,4,32,1,42,4,0.99,10,73784,92,119,4.226778407981877,0.4305051880452055,0.0600076364172004,0.582287674659254,4.363318731824012,0.4508617028204748,0.0575510312385307,0.7722121152276943,4.07092736263767,0.4474716995623873,0.0679718423802823,0.7450392787739145,"[('start', 1686578031.590037), ('end', 1686579229.249116)]",1686578031.592953,1686579094.390256,1062.7973029613495,1686579094.390284,1686579229.249046,134.85876202583313
23.06.12-14.42.48-148294,3300,C-SYNTH-23M:reasonable,ace,4.0,4,32,1,42,4,0.99,10,73784,211,213,2.742614778480517,0.1939321508046014,0.0137130738924025,0.2926143602172171,2.8246845332834765,0.1997353588197504,0.0141234226664173,0.3135093849989091,2.7378253225417715,0.1935934851273533,0.0136891266127088,0.2998736269599381,"[('start', 1686577368.148464), ('end', 1686597060.027414)]",1686577368.151447,1686596104.651856,18736.500408887863,1686596104.651907,1686597060.027361,955.3754539489746
23.06.13-06.45.50-495704,15,C-GAP-20:bucky,dft_u,4.0,4,32,1,42,4,0.99,10,73784,279,284,1.2828799036372227,0.1705241623985701,0.0240846432327488,0.3217928086927463,9.693347070141662,1.5484837120727446,0.2640938277737497,0.7395585722899655,6.237259758147202,0.8726147804958102,0.1242257283287015,0.653972074581846,"[('start', 1686635150.495817), ('end', 1686635263.921547)]",1686635153.497207,1686635243.833534,90.33632707595824,1686635243.833566,1686635263.921501,20.08793497085572
