id,config|pretrain_id,config|checkpoint,config|n_finetune,config|finetune_dataset,config|finetune_labels,config|r_max,config|num_layers,config|num_features,config|l_max,config|seed,config|beta,config|ema_decay,config|batch_size,result|train|cell_energy_rmse,result|train|scaled_energy_rmse,result|train|per_atom_energy_rmse,result|train|force_rmse,result|val|cell_energy_rmse,result|val|scaled_energy_rmse,result|val|per_atom_energy_rmse,result|val|force_rmse,result|test|cell_energy_rmse,result|test|scaled_energy_rmse,result|test|per_atom_energy_rmse,result|test|force_rmse,result|num_params,result|best_epoch,result|num_epochs,metadata|timing_marks,metadata|timing|training|start,metadata|timing|training|end,metadata|timing|training|duration,metadata|timing|evaluation|start,metadata|timing|evaluation|end,metadata|timing|evaluation|duration
23.06.08-15.19.59-473381,23.06.08-14.54.47-313548,best,100,C-GAP-17,dft,4.0,4,32,1,42,32,0.99,10,3.521161664033763,0.38362456301822,0.0499016202180474,0.8668531191497719,5.607432367364402,0.5931286757886062,0.072196015346937,1.1288979018327203,5.161623137893595,0.5952933064238828,0.0862760453291243,1.1225353386855108,73784,125,158,"[('start', 1686233999.473554), ('end', 1686234532.032894)]",1686233999.480306,1686234434.830837,435.3505311012268,1686234434.830858,1686234532.03284,97.2019820213318
23.06.09-06.38.15-934248,23.06.08-20.33.15-394025,best,25,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.0851417452935954,0.3426393834669753,0.0427293050677103,0.6152769312354044,5.167705596957545,0.5507528316376796,0.0672674677552293,0.8678424903802002,4.643109382996832,0.5236766457183573,0.0670802885008325,0.8569935539651496,73784,11,48,"[('start', 1686289095.934371), ('end', 1686289212.604555)]",1686289095.939893,1686289130.225878,34.28598499298096,1686289130.225898,1686289212.604487,82.37858891487122
23.06.09-06.40.12-611734,23.06.08-20.33.15-394025,best,50,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.6259529216970026,0.3878199277029516,0.0470376736318256,0.6709925517127189,5.779505981998472,0.605721222205614,0.0701443367336197,0.8559260704060833,5.24157666684324,0.5834676808918119,0.0717443183298922,0.8449476401008322,73784,7,46,"[('start', 1686289212.611836), ('end', 1686289336.790054)]",1686289212.617235,1686289251.041757,38.424522161483765,1686289251.041778,1686289336.789977,85.74819898605347
23.06.09-06.42.16-797121,23.06.08-20.33.15-394025,best,100,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.232597570445227,0.3649511805701574,0.0461750177165727,0.682840096389724,4.956627310861217,0.5206483016330647,0.0604118297621824,0.819734543621962,4.325313866686554,0.4858099852317943,0.0616039487205895,0.8059746637786922,73784,7,45,"[('start', 1686289336.797229), ('end', 1686289484.620944)]",1686289336.802901,1686289392.647294,55.84439301490784,1686289392.647321,1686289484.620892,91.973571062088
23.06.09-06.44.44-627995,23.06.08-20.33.15-394025,best,200,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.634292671415303,0.4118990960926486,0.0511440706608258,0.689803181312717,4.317675431185269,0.4583632632632368,0.0535091837216138,0.7879082704416522,3.826696238695711,0.4330975449965253,0.053871114664045,0.7766334040028389,73784,7,46,"[('start', 1686289484.628102), ('end', 1686289688.348418)]",1686289484.633469,1686289583.763043,99.12957382202148,1686289583.763072,1686289688.348368,104.58529591560364
23.06.09-06.48.08-355550,23.06.08-20.33.15-394025,best,400,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.486599530455217,0.3829104765649865,0.0470906158478929,0.6627021999930153,4.147000679085962,0.4421707837984773,0.0516872660498407,0.7667285700768176,3.668789766274036,0.414281921990478,0.0519289748419955,0.755752755386723,73784,10,48,"[('start', 1686289688.35565), ('end', 1686290011.288319)]",1686289688.360965,1686289880.231345,191.87037992477417,1686289880.231371,1686290011.288259,131.0568881034851
23.06.09-06.53.31-295664,23.06.08-20.33.15-394025,best,800,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.6163601282877487,0.4116810255906491,0.0511078622802191,0.698564887443902,4.302024528848699,0.4542001593317214,0.0526653625708148,0.75320877636508,3.795997705725328,0.4280368712693285,0.0528763982628818,0.7419147622883545,73784,6,46,"[('start', 1686290011.295768), ('end', 1686290555.462136)]",1686290011.301068,1686290371.833295,360.5322270393372,1686290371.833322,1686290555.462078,183.6287560462952
23.06.09-07.02.35-469602,23.06.08-20.33.15-394025,best,1600,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.1761329017390065,0.3636214680895359,0.0452196558884971,0.6488409899353669,3.861614189757317,0.4093255140614725,0.0474395908255172,0.7279786835788025,3.42859309632727,0.3874785944366267,0.0479150581867003,0.7164154347507051,73784,23,49,"[('start', 1686290555.469705), ('end', 1686291616.339544)]",1686290555.475012,1686291329.033537,773.5585248470306,1686291329.033561,1686291616.339492,287.3059310913086
23.06.09-07.20.16-347326,23.06.08-20.33.15-394025,best,3200,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.105253506090434,0.3500576089613847,0.0431410202978922,0.6300804576696021,3.648534400227424,0.38441790446239,0.0441751784220433,0.702090668532581,3.2942761590604315,0.3684656370291849,0.0451490063544996,0.6910772532143713,73784,63,73,"[('start', 1686291616.347431), ('end', 1686294783.669588)]",1686291616.352758,1686294255.462567,2639.1098091602325,1686294255.462596,1686294783.669532,528.2069361209869
23.06.09-19.53.51-386470,23.06.09-08.13.03-677890,best,25,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.0448698057002703,0.3335296576749786,0.0427094119601543,0.6701776828267225,4.684540201453415,0.5245378037587717,0.0671694413678527,0.9411478132322582,4.353408886119697,0.5066006779297934,0.0701713084446077,0.9257632419641636,73784,16,56,"[('start', 1686336831.386585), ('end', 1686336957.014304)]",1686336831.392553,1686336872.191093,40.798539876937866,1686336872.191126,1686336957.01418,84.82305383682251
23.06.09-19.55.57-022863,23.06.09-08.13.03-677890,best,50,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.246296988985328,0.3356426371979233,0.0410099854941653,0.6971857047543717,4.959362861222699,0.5372584832956031,0.0658780817153512,0.92531112013277,4.589552870261971,0.5166456606350239,0.0690997654724914,0.9113293383011212,73784,14,53,"[('start', 1686336957.023275), ('end', 1686337096.888586)]",1686336957.028839,1686337008.535593,51.50675392150879,1686337008.535631,1686337096.888455,88.35282397270203
